Time (uS) - Plot 0,Amplitude - Plot 0
34100,-3.00E+06
34133,-3.00E+06
34167,-3.00E+06
34200,-3.00E+06
34233,-2.00E+06
34267,-2.00E+06
34300,-2.00E+06
34333,-1.00E+06
34367,-7.99E+05
34400,-3.06E+05
34433,2.42E+05
34467,7.40E+05
34500,1.00E+06
34533,2.00E+06
34567,2.00E+06
34600,3.00E+06
34633,3.00E+06
34667,3.00E+06
34700,3.00E+06
34733,3.00E+06
34767,3.00E+06
34800,3.00E+06
34833,3.00E+06
34867,3.00E+06
34900,2.00E+06
34933,2.00E+06
34967,2.00E+06
35000,1.00E+06
35033,4.45E+05
35067,-2.11E+05
35100,-7.97E+05
35133,-1.00E+06
35167,-2.00E+06
35200,-2.00E+06
35233,-3.00E+06
35267,-3.00E+06
35300,-4.00E+06
35333,-4.00E+06
35367,-4.00E+06
35400,-4.00E+06
35433,-4.00E+06
35467,-4.00E+06
35500,-3.00E+06
35533,-3.00E+06
35567,-2.00E+06
35600,-2.00E+06
35633,-1.00E+06
35667,-4.81E+05
35700,1.50E+05
35733,8.37E+05
35767,2.00E+06
35800,2.00E+06
35833,3.00E+06
35867,3.00E+06
35900,4.00E+06
35933,4.00E+06
35967,4.00E+06
36000,4.00E+06
36033,4.00E+06
36067,4.00E+06
36100,4.00E+06
36133,4.00E+06
36167,3.00E+06
36200,3.00E+06
36233,2.00E+06
36267,1.00E+06
36300,7.21E+05
36333,-2.10E+04
36367,-7.91E+05
36400,-2.00E+06
36433,-2.00E+06
36467,-3.00E+06
36500,-4.00E+06
36533,-4.00E+06
36567,-5.00E+06
36600,-5.00E+06
36633,-5.00E+06
36667,-5.00E+06
36700,-5.00E+06
36733,-5.00E+06
36767,-5.00E+06
36800,-4.00E+06
36833,-4.00E+06
36867,-3.00E+06
36900,-2.00E+06
36933,-1.00E+06
36967,-4.93E+05
37000,3.08E+05
37033,1.00E+06
37067,2.00E+06
37100,3.00E+06
37133,4.00E+06
37167,4.00E+06
37200,5.00E+06
37233,5.00E+06
37267,5.00E+06
37300,6.00E+06
37333,6.00E+06
37367,5.00E+06
37400,5.00E+06
37433,5.00E+06
37467,4.00E+06
37500,4.00E+06
37533,3.00E+06
37567,2.00E+06
37600,1.00E+06
37633,5.73E+05
37667,-3.38E+05
37700,-1.00E+06
37733,-2.00E+06
37767,-3.00E+06
37800,-4.00E+06
37833,-4.00E+06
37867,-5.00E+06
37900,-5.00E+06
37933,-5.00E+06
37967,-5.00E+06
38000,-5.00E+06
38033,-5.00E+06
38067,-5.00E+06
38100,-5.00E+06
38133,-4.00E+06
38167,-4.00E+06
38200,-3.00E+06
38233,-2.00E+06
38267,-1.00E+06
38300,-5.78E+05
38333,2.31E+05
38367,1.00E+06
38400,2.00E+06
38433,2.00E+06
38467,3.00E+06
38500,4.00E+06
38533,4.00E+06
38567,4.00E+06
38600,5.00E+06
38633,5.00E+06
38667,5.00E+06
38700,5.00E+06
38733,4.00E+06
38767,4.00E+06
38800,3.00E+06
38833,3.00E+06
38867,2.00E+06
38900,2.00E+06
38933,1.00E+06
38967,3.98E+05
39000,-3.14E+05
39033,-9.09E+05
39067,-2.00E+06
39100,-2.00E+06
39133,-3.00E+06
39167,-3.00E+06
39200,-3.00E+06
39233,-4.00E+06
39267,-4.00E+06
39300,-4.00E+06
39333,-4.00E+06
39367,-4.00E+06
39400,-3.00E+06
39433,-3.00E+06
39467,-3.00E+06
39500,-2.00E+06
39533,-2.00E+06
39567,-1.00E+06
39600,-6.06E+05
39633,-1.04E+05
39667,4.29E+05
39700,9.68E+05
39733,1.00E+06
39767,2.00E+06
39800,2.00E+06
39833,3.00E+06
39867,3.00E+06
39900,3.00E+06
39933,3.00E+06
39967,3.00E+06
40000,3.00E+06
40033,3.00E+06
40067,3.00E+06
40100,2.00E+06
40133,2.00E+06
40167,2.00E+06
40200,1.00E+06
40233,7.98E+05
40267,3.15E+05
40300,-1.09E+05
40333,-4.95E+05
40367,-9.70E+05
40400,-1.00E+06
40433,-2.00E+06
40467,-2.00E+06
40500,-2.00E+06
40533,-2.00E+06
40567,-2.00E+06
40600,-2.00E+06
40633,-2.00E+06
40667,-2.00E+06
40700,-2.00E+06
40733,-2.00E+06
40767,-2.00E+06
40800,-2.00E+06
40833,-1.00E+06
40867,-8.99E+05
40900,-6.03E+05
40933,-2.23E+05
40967,1.16E+05
